Uid,Sid,Key,Time,Category,Value,UpdateTime
47675629,786882759,indoor_running,1756198001,running,"{""time"":1756198001,""train_load_level"":2,""max_cadence"":186,""duration"":2434,""hrm_warm_up_duration"":608,""min_pace"":1428,""target_value"":{},""max_pace"":333,""aerobic_train_effect_level"":2,""valid_duration"":2434,""end_time"":1756200439,""corrected_distance"":5430,""calories"":230,""did"":""786882759"",""recover_time"":32,""total_cal"":282,""min_hrm"":93,""proto_type"":3,""timezone"":32,""start_time"":1756198001,""sport_type"":3,""distance"":5430,""cloud_course_source"":0,""max_hrm"":155,""train_effect"":1.9,""hrm_extreme_duration"":0,""steps"":6424,""avg_hrm"":119,""hrm_fat_burning_duration"":1182,""vitality"":18,""version"":9,""train_load"":30,""hrm_anaerobic_duration"":123,""hrm_aerobic_duration"":510}",1756202414
47675629,786882759,indoor_running,1756287533,running,"{""min_hrm"":61,""avg_hrm"":114,""hrm_fat_burning_duration"":1260,""proto_type"":3,""hrm_extreme_duration"":0,""time"":1756287533,""version"":9,""max_pace"":333,""train_load"":26,""vitality"":13,""total_cal"":284,""did"":""786882759"",""hrm_aerobic_duration"":304,""calories"":227,""hrm_warm_up_duration"":797,""timezone"":32,""aerobic_train_effect_level"":2,""start_time"":1756287533,""distance"":5650,""min_pace"":1428,""target_value"":{},""end_time"":1756290203,""steps"":6632,""train_effect"":1.8,""corrected_distance"":5650,""max_hrm"":157,""valid_duration"":2669,""sport_type"":3,""max_cadence"":186,""recover_time"":39,""train_load_level"":1,""hrm_anaerobic_duration"":140,""duration"":2669,""cloud_course_source"":0}",1756290282
47675629,786882759,indoor_running,1756462814,running,"{""hrm_fat_burning_duration"":258,""did"":""786882759"",""hrm_extreme_duration"":0,""min_pace"":1428,""valid_duration"":2214,""target_value"":{},""train_load"":7,""corrected_distance"":2440,""total_cal"":137,""time"":1756462814,""hrm_anaerobic_duration"":0,""duration"":2214,""hrm_aerobic_duration"":62,""train_effect"":1.3,""sport_type"":3,""proto_type"":3,""hrm_warm_up_duration"":809,""cloud_course_source"":0,""vitality"":2,""aerobic_train_effect_level"":2,""calories"":91,""max_hrm"":135,""min_hrm"":63,""distance"":2440,""train_load_level"":1,""start_time"":1756462814,""avg_hrm"":89,""steps"":2864,""end_time"":1756465030,""max_cadence"":186,""timezone"":32,""max_pace"":370,""version"":9}",1756470983
47675629,786882759,indoor_running,1756544689,running,"{""train_effect"":2.2,""train_load"":40,""valid_duration"":3722,""recover_time"":37,""did"":""786882759"",""avg_hrm"":116,""vitality"":12,""max_hrm"":153,""end_time"":1756548414,""max_pace"":357,""timezone"":32,""corrected_distance"":7680,""cloud_course_source"":0,""hrm_fat_burning_duration"":2425,""duration"":3722,""aerobic_train_effect_level"":3,""steps"":8912,""hrm_warm_up_duration"":909,""max_cadence"":186,""train_load_level"":2,""distance"":7680,""hrm_aerobic_duration"":315,""min_pace"":1428,""hrm_anaerobic_duration"":48,""hrm_extreme_duration"":0,""proto_type"":3,""time"":1756544689,""sport_type"":3,""start_time"":1756544689,""min_hrm"":84,""calories"":328,""version"":9,""total_cal"":408,""target_value"":{}}",1756548460
47675629,786882759,indoor_running,1756637700,running,"{""train_load"":26,""end_time"":1756640613,""min_hrm"":82,""min_pace"":1428,""did"":""786882759"",""avg_hrm"":112,""max_cadence"":186,""start_time"":1756637700,""vitality"":7,""hrm_aerobic_duration"":93,""hrm_extreme_duration"":0,""duration"":2910,""hrm_anaerobic_duration"":0,""target_value"":{},""train_effect"":1.8,""recover_time"":42,""distance"":6430,""time"":1756637700,""sport_type"":3,""corrected_distance"":6430,""aerobic_train_effect_level"":2,""hrm_warm_up_duration"":730,""version"":9,""proto_type"":3,""max_hrm"":135,""timezone"":32,""valid_duration"":2910,""train_load_level"":1,""calories"":236,""steps"":7440,""max_pace"":333,""hrm_fat_burning_duration"":1977,""cloud_course_source"":0,""total_cal"":299}",1756643557
47675629,786882759,outdoor_walking,1756714278,walking,"{""train_effect"":1.3,""max_speed"":6.876,""version"":4,""proto_type"":22,""max_cadence"":120,""hrm_fat_burning_duration"":6,""hrm_anaerobic_duration"":0,""end_time"":1756716839,""hrm_aerobic_duration"":0,""train_load"":6,""aerobic_train_effect_level"":2,""calories"":78,""sport_type"":2,""time"":1756714278,""cloud_course_source"":0,""min_hrm"":69,""recover_time"":21,""distance"":1685,""max_hrm"":113,""total_cal"":133,""avg_hrm"":87,""train_load_level"":1,""duration"":2561,""max_pace"":526,""start_time"":1756714278,""hrm_warm_up_duration"":988,""min_pace"":1428,""did"":""786882759"",""timezone"":32,""designated_course"":0,""steps"":2341,""hrm_extreme_duration"":0,""target_value"":{}}",1756716864
47675629,786882759,indoor_running,1756721551,running,"{""target_value"":{},""vitality"":16,""corrected_distance"":5470,""hrm_fat_burning_duration"":114,""recover_time"":92,""aerobic_train_effect_level"":5,""max_hrm"":182,""anaerobic_train_effect_level"":2,""start_time"":1756721551,""distance"":5470,""hrm_aerobic_duration"":249,""hrm_warm_up_duration"":142,""valid_duration"":2535,""steps"":6344,""max_cadence"":186,""anaerobic_train_effect"":1.3,""max_pace"":344,""train_load"":130,""time"":1756721551,""hrm_anaerobic_duration"":191,""end_time"":1756724087,""sport_type"":3,""train_effect"":4.2,""calories"":414,""timezone"":32,""min_pace"":1428,""total_cal"":469,""cloud_course_source"":0,""version"":9,""avg_hrm"":155,""hrm_extreme_duration"":1683,""did"":""786882759"",""min_hrm"":76,""train_load_level"":3,""duration"":2535,""proto_type"":3}",1756726274
47675629,786882759,outdoor_running,1757173514,running,"{""avg_hrm"":140,""hrm_fat_burning_duration"":811,""hrm_warm_up_duration"":19,""designated_course"":0,""vo2_max_level"":3,""vo2_max"":32,""cloud_course_source"":0,""distance"":4135,""version"":4,""total_cal"":371,""calories"":310,""steps"":5293,""vitality"":12,""end_time"":1757176348,""train_load_level"":3,""max_hrm"":180,""hrm_extreme_duration"":228,""anaerobic_train_effect_level"":1,""proto_type"":22,""min_pace"":1000,""min_hrm"":107,""max_pace"":238,""sport_type"":1,""hrm_aerobic_duration"":891,""time"":1757173514,""duration"":2834,""train_effect"":3.2,""hrm_anaerobic_duration"":869,""target_value"":{},""aerobic_train_effect_level"":4,""did"":""786882759"",""max_cadence"":168,""recover_time"":48,""start_time"":1757173514,""train_load"":79,""timezone"":-16,""max_speed"":15.3,""anaerobic_train_effect"":0.5}",1757178216
47675629,786882759,outdoor_walking,1757178070,walking,"{""train_load_level"":1,""duration"":2060,""train_effect"":1.6,""version"":4,""hrm_warm_up_duration"":1026,""designated_course"":0,""aerobic_train_effect_level"":2,""time"":1757178070,""recover_time"":73,""min_hrm"":74,""proto_type"":22,""hrm_extreme_duration"":0,""steps"":1382,""max_hrm"":153,""end_time"":1757180131,""vitality"":2,""max_pace"":416,""min_pace"":1428,""cloud_course_source"":0,""calories"":141,""max_cadence"":126,""max_speed"":8.676,""hrm_aerobic_duration"":249,""target_value"":{},""sport_type"":2,""total_cal"":185,""distance"":1204,""avg_hrm"":110,""hrm_fat_burning_duration"":577,""start_time"":1757178070,""hrm_anaerobic_duration"":43,""timezone"":-16,""did"":""786882759"",""train_load"":16}",1757180433
47675629,786882759,outdoor_running,1757511360,running,"{""total_cal"":376,""duration"":2681,""calories"":318,""hrm_extreme_duration"":440,""end_time"":1757514042,""did"":""786882759"",""designated_course"":0,""hrm_anaerobic_duration"":1143,""time"":1757511360,""vo2_max"":41,""version"":4,""train_effect"":3.6,""recover_time"":51,""max_speed"":16.56,""hrm_fat_burning_duration"":580,""anaerobic_train_effect"":0.7,""start_time"":1757511360,""aerobic_train_effect_level"":4,""anaerobic_train_effect_level"":1,""max_cadence"":180,""max_hrm"":173,""vo2_max_level"":4,""timezone"":-16,""max_pace"":217,""hrm_aerobic_duration"":416,""distance"":5004,""steps"":4951,""hrm_warm_up_duration"":85,""avg_hrm"":145,""train_load_level"":3,""sport_type"":1,""min_pace"":1000,""train_load"":94,""min_hrm"":102,""cloud_course_source"":0,""vitality"":12,""proto_type"":22,""target_value"":{}}",1757516427
